15.818 B15 B17
15.956 B01 B03
16.159 B03 B04
20.441 B04 B06
21.428 B12 B13
21.814 B17 B18
21.845 B02 B05
22.367 B07 B10
22.766 B04 B07
22.866 B03 B06
23.249 B19 B20
23.764 B13 B16_1
23.844 B04 B05
24.482 B08 B11
24.643 B12 B15
24.784 B13 B15
24.838 B07 B08
24.941 B16 B20
25.29 B05 B08
25.366 B09 B10
25.773 B13 B16
26.066 B06 B07
26.669 B17 B19
26.96 B16_1 B20
27.04 B18 B19
28.273 B11 B14
29.261 B09 B12
29.445 B01 B04
30.067 B05 B07
30.098 B01 B02
30.148 B06 B09
30.363 B02 B04
30.384 B14 B16_1
31.073 B16 B19
31.371 B14 B16
31.47 B07 B09
31.561 B13 B14
32.28 B10 B11
32.363 B16_1 B19
32.813 B02 B03
33.261 B16_1 B17
33.328 B15 B16_1
33.558 B08 B10
33.566 B16 B17
34.335 B10 B12
34.514 B15 B16
34.797 B10 B13
35.681 B13 B17
36.311 B03 B05
36.567 B15 B18
37.665 B03 B07
37.852 B04 B08
38.572 B01 B06
39.703 B07 B11
39.897 B10 B14
40.187 B15 B19
40.385 B12 B17
40.98 B06 B10
42.692 B01 B05
43.183 B05 B06
43.722 B12 B16_1
43.878 B17 B20
43.918 B09 B13
44.71 B04 B10
45.043 B04 B09
45.612 B12 B16
47.108 B02 B08
47.443 B02 B07
49.087 B11 B13
49.577 B13 B19
49.618 B06 B08
49.771 B05 B11
49.966 B05 B10
49.995 B16 B18
50.071 B02 B06
50.072 B14 B20
50.129 B18 B20
50.379 B16_1 B18
50.465 B13 B20
50.562 B12 B14
51.317 B08 B14
52.134 B01 B07
52.42 B15 B20
52.734 B03 B09
53.201 B07 B12
53.511 B08 B09
53.853 B03 B08
53.873 B09 B15
54.64 B14 B15
54.916 B10 B16_1
55.129 B10 B15
56.854 B10 B16
57.105 B07 B13
57.289 B11 B16_1
57.341 B13 B18
57.557 B09 B11
58.091 B07 B14
58.37 B03 B10
58.598 B11 B16
59.213 B04 B11
59.274 B06 B12
60.406 B11 B12
60.79 B14 B17
60.838 B05 B09
61.034 B12 B18
61.859 B09 B14
62.316 B14 B19
62.462 B12 B19
63.732 B08 B13
64.575 B01 B08
65.517 B06 B11
67.593 B09 B16_1
67.791 B08 B12
68.612 B01 B09
69.034 B12 B20
69.06 B10 B17
69.255 B02 B10
69.614 B09 B16
69.643 B09 B17
71.141 B06 B13
71.573 B02 B11
71.95 B04 B12
73.62 B01 B10
73.826 B11 B15
74.905 B02 B09
75.326 B03 B11
76.113 B07 B15
76.138 B05 B14
76.976 B07 B16_1
77.708 B08 B16_1
78.328 B11 B20
78.876 B07 B16
78.983 B04 B13
79.294 B08 B16
80.073 B14 B18
80.449 B04 B14
80.629 B06 B14
81.401 B10 B20
81.522 B03 B12
82.952 B05 B12
83.753 B11 B17
83.918 B06 B15
84.041 B05 B13
84.155 B10 B19
86.9 B08 B15
87.642 B01 B11
89.646 B11 B19
90.038 B09 B18
90.686 B07 B17
90.856 B10 B18
90.947 B09 B19
91.422 B03 B13
93.88 B06 B16_1
94.383 B09 B20
95.756 B03 B14
95.89 B06 B16
96.04 B04 B15
97.472 B01 B12
97.915 B02 B14
99.396 B08 B17
99.584 B04 B16_1
99.632 B06 B17
100.28 B02 B12
100.866 B05 B16_1
101.008 B08 B20
101.504 B04 B16
102.583 B05 B16
103.12 B07 B20
103.956 B02 B13
104.612 B11 B18
105.049 B05 B15
106.112 B03 B15
106.523 B07 B19
107.14 B01 B13
109.715 B08 B19
109.867 B01 B14
111.213 B04 B17
112.376 B07 B18
113.114 B03 B16_1
115.08 B03 B16
118.971 B05 B17
119.901 B06 B19
120.179 B06 B18
120.812 B06 B20
121.068 B08 B18
121.698 B03 B17
121.952 B02 B16_1
122.067 B01 B15
123.545 B02 B15
123.72 B02 B16
125.258 B05 B20
125.852 B04 B20
128.512 B01 B16_1
128.556 B04 B19
130.461 B01 B16
132.192 B05 B19
132.597 B04 B18
137.654 B01 B17
138.097 B02 B17
139.751 B03 B20
140.781 B05 B18
140.82 B03 B19
142.552 B03 B18
146.771 B02 B20
152.817 B02 B19
154.995 B01 B20
156.615 B01 B19
158.497 B01 B18
159.811 B02 B18
